word,md_file,image,status
abundant,C:\GTT\EnglishDB\Words\a\abundant.md,Images/abundant.svg,real_image
abundantly,C:\GTT\EnglishDB\Words\a\abundantly.md,Images/abundantly.svg,real_image
abuse,C:\GTT\EnglishDB\Words\a\abuse.md,Images/abuse.svg,real_image
abused,C:\GTT\EnglishDB\Words\a\abused.md,Images/abused.svg,real_image
abuser,C:\GTT\EnglishDB\Words\a\abuser.md,Images/abuser.svg,real_image
abusive,C:\GTT\EnglishDB\Words\a\abusive.md,Images/abusive.svg,real_image
abut,C:\GTT\EnglishDB\Words\a\abut.md,Images/abut.svg,real_image
abysmal,C:\GTT\EnglishDB\Words\a\abysmal.md,Images/abysmal.svg,real_image
abyss,C:\GTT\EnglishDB\Words\a\abyss.md,Images/abyss.svg,real_image
academia,C:\GTT\EnglishDB\Words\a\academia.md,Images/academia.svg,real_image
academic,C:\GTT\EnglishDB\Words\a\academic.md,Images/academic.svg,real_image
academically,C:\GTT\EnglishDB\Words\a\academically.md,Images/academically.svg,real_image
academy,C:\GTT\EnglishDB\Words\a\academy.md,Images/academy.svg,real_image
accede,C:\GTT\EnglishDB\Words\a\accede.md,Images/accede.svg,real_image
accelerate,C:\GTT\EnglishDB\Words\a\accelerate.md,Images/accelerate.svg,real_image
accelerated,C:\GTT\EnglishDB\Words\a\accelerated.md,Images/accelerated.svg,real_image
accelerating,C:\GTT\EnglishDB\Words\a\accelerating.md,Images/accelerating.svg,real_image
acceleration,C:\GTT\EnglishDB\Words\a\acceleration.md,Images/acceleration.svg,real_image
accelerator,C:\GTT\EnglishDB\Words\a\accelerator.md,Images/accelerator.svg,real_image
accent,C:\GTT\EnglishDB\Words\a\accent.md,Images/accent.svg,real_image
accentuate,C:\GTT\EnglishDB\Words\a\accentuate.md,Images/accentuate.svg,real_image
accept,C:\GTT\EnglishDB\Words\a\accept.md,Images/accept.svg,real_image
acceptability,C:\GTT\EnglishDB\Words\a\acceptability.md,Images/acceptability.svg,real_image
acceptable,C:\GTT\EnglishDB\Words\a\acceptable.md,Images/acceptable.svg,real_image
acceptance,C:\GTT\EnglishDB\Words\a\acceptance.md,Images/acceptance.svg,real_image
accepted,C:\GTT\EnglishDB\Words\a\accepted.md,Images/accepted.svg,real_image
access,C:\GTT\EnglishDB\Words\a\access.md,Images/access.svg,real_image
accessibility,C:\GTT\EnglishDB\Words\a\accessibility.md,Images/accessibility.svg,real_image
accessible,C:\GTT\EnglishDB\Words\a\accessible.md,Images/accessible.svg,real_image
accession,C:\GTT\EnglishDB\Words\a\accession.md,Images/accession.svg,real_image
accessory,C:\GTT\EnglishDB\Words\a\accessory.md,Images/accessory.svg,real_image
accident,C:\GTT\EnglishDB\Words\a\accident.md,Images/accident.svg,real_image
accidental,C:\GTT\EnglishDB\Words\a\accidental.md,Images/accidental.svg,real_image
accidentally,C:\GTT\EnglishDB\Words\a\accidentally.md,Images/accidentally.svg,real_image
acclaim,C:\GTT\EnglishDB\Words\a\acclaim.md,Images/acclaim.svg,real_image
acclaimed,C:\GTT\EnglishDB\Words\a\acclaimed.md,Images/acclaimed.svg,real_image
accolade,C:\GTT\EnglishDB\Words\a\accolade.md,Images/accolade.svg,real_image
accommodate,C:\GTT\EnglishDB\Words\a\accommodate.md,Images/accommodate.svg,real_image
accommodation,C:\GTT\EnglishDB\Words\a\accommodation.md,Images/accommodation.svg,real_image
accompaniment,C:\GTT\EnglishDB\Words\a\accompaniment.md,Images/accompaniment.svg,real_image
accompany,C:\GTT\EnglishDB\Words\a\accompany.md,Images/accompany.svg,real_image
accompanying,C:\GTT\EnglishDB\Words\a\accompanying.md,Images/accompanying.svg,real_image
accomplice,C:\GTT\EnglishDB\Words\a\accomplice.md,Images/accomplice.svg,real_image
accomplish,C:\GTT\EnglishDB\Words\a\accomplish.md,Images/accomplish.svg,real_image
accomplished,C:\GTT\EnglishDB\Words\a\accomplished.md,Images/accomplished.svg,real_image
accomplishment,C:\GTT\EnglishDB\Words\a\accomplishment.md,Images/accomplishment.svg,real_image
accord,C:\GTT\EnglishDB\Words\a\accord.md,Images/accord.svg,real_image
accordance,C:\GTT\EnglishDB\Words\a\accordance.md,Images/accordance.svg,real_image
according,C:\GTT\EnglishDB\Words\a\according.md,Images/according.svg,real_image
accordingly,C:\GTT\EnglishDB\Words\a\accordingly.md,Images/accordingly.svg,real_image
accordion,C:\GTT\EnglishDB\Words\a\accordion.md,Images/accordion.svg,real_image
accost,C:\GTT\EnglishDB\Words\a\accost.md,Images/accost.svg,real_image
account,C:\GTT\EnglishDB\Words\a\account.md,Images/account.svg,real_image
accountability,C:\GTT\EnglishDB\Words\a\accountability.md,Images/accountability.svg,real_image
accountable,C:\GTT\EnglishDB\Words\a\accountable.md,Images/accountable.svg,real_image
accountant,C:\GTT\EnglishDB\Words\a\accountant.md,Images/accountant.svg,real_image
accounting,C:\GTT\EnglishDB\Words\a\accounting.md,Images/accounting.svg,real_image
accredit,C:\GTT\EnglishDB\Words\a\accredit.md,Images/accredit.svg,real_image
accreditation,C:\GTT\EnglishDB\Words\a\accreditation.md,Images/accreditation.svg,real_image
accredited,C:\GTT\EnglishDB\Words\a\accredited.md,Images/accredited.svg,real_image
accretion,C:\GTT\EnglishDB\Words\a\accretion.md,Images/accretion.svg,real_image
accrue,C:\GTT\EnglishDB\Words\a\accrue.md,Images/accrue.svg,real_image
acculturation,C:\GTT\EnglishDB\Words\a\acculturation.md,Images/acculturation.svg,real_image
accumulate,C:\GTT\EnglishDB\Words\a\accumulate.md,Images/accumulate.svg,real_image
accumulated,C:\GTT\EnglishDB\Words\a\accumulated.md,Images/accumulated.svg,real_image
accumulation,C:\GTT\EnglishDB\Words\a\accumulation.md,Images/accumulation.svg,real_image
accuracy,C:\GTT\EnglishDB\Words\a\accuracy.md,Images/accuracy.svg,real_image
accurate,C:\GTT\EnglishDB\Words\a\accurate.md,Images/accurate.svg,real_image
accurately,C:\GTT\EnglishDB\Words\a\accurately.md,Images/accurately.svg,real_image
accusation,C:\GTT\EnglishDB\Words\a\accusation.md,Images/accusation.svg,real_image
accuse,C:\GTT\EnglishDB\Words\a\accuse.md,Images/accuse.svg,real_image
accused,C:\GTT\EnglishDB\Words\a\accused.md,Images/accused.svg,real_image
accuser,C:\GTT\EnglishDB\Words\a\accuser.md,Images/accuser.svg,real_image
accustom,C:\GTT\EnglishDB\Words\a\accustom.md,Images/accustom.svg,real_image
accustomed,C:\GTT\EnglishDB\Words\a\accustomed.md,Images/accustomed.svg,real_image
ace,C:\GTT\EnglishDB\Words\a\ace.md,Images/ace.svg,real_image
ache,C:\GTT\EnglishDB\Words\a\ache.md,Images/ache.svg,real_image
achievable,C:\GTT\EnglishDB\Words\a\achievable.md,Images/achievable.svg,real_image
achieve,C:\GTT\EnglishDB\Words\a\achieve.md,Images/achieve.svg,real_image
achievement,C:\GTT\EnglishDB\Words\a\achievement.md,Images/achievement.svg,real_image
achiever,C:\GTT\EnglishDB\Words\a\achiever.md,Images/achiever.svg,real_image
aching,C:\GTT\EnglishDB\Words\a\aching.md,Images/aching.svg,real_image
acid,C:\GTT\EnglishDB\Words\a\acid.md,Images/acid.svg,real_image
acidic,C:\GTT\EnglishDB\Words\a\acidic.md,Images/acidic.svg,real_image
acidity,C:\GTT\EnglishDB\Words\a\acidity.md,Images/acidity.svg,real_image
acknowledge,C:\GTT\EnglishDB\Words\a\acknowledge.md,Images/acknowledge.svg,real_image
acknowledged,C:\GTT\EnglishDB\Words\a\acknowledged.md,Images/acknowledged.svg,real_image
acknowledgement,C:\GTT\EnglishDB\Words\a\acknowledgement.md,Images/acknowledgement.svg,real_image
acknowledgment,C:\GTT\EnglishDB\Words\a\acknowledgment.md,Images/acknowledgment.svg,real_image
acne,C:\GTT\EnglishDB\Words\a\acne.md,Images/acne.svg,real_image
acorn,C:\GTT\EnglishDB\Words\a\acorn.md,Images/acorn.svg,real_image
acoustic,C:\GTT\EnglishDB\Words\a\acoustic.md,Images/acoustic.svg,real_image
acquaint,C:\GTT\EnglishDB\Words\a\acquaint.md,Images/acquaint.svg,real_image
acquaintance,C:\GTT\EnglishDB\Words\a\acquaintance.md,Images/acquaintance.svg,real_image
acquiesce,C:\GTT\EnglishDB\Words\a\acquiesce.md,Images/acquiesce.svg,real_image
acquiescence,C:\GTT\EnglishDB\Words\a\acquiescence.md,Images/acquiescence.svg,real_image
acquire,C:\GTT\EnglishDB\Words\a\acquire.md,Images/acquire.svg,real_image
acquired,C:\GTT\EnglishDB\Words\a\acquired.md,Images/acquired.svg,real_image
acquisition,C:\GTT\EnglishDB\Words\a\acquisition.md,Images/acquisition.svg,real_image
acquit,C:\GTT\EnglishDB\Words\a\acquit.md,Images/acquit.svg,real_image
acquittal,C:\GTT\EnglishDB\Words\a\acquittal.md,Images/acquittal.svg,real_image
acreage,C:\GTT\EnglishDB\Words\a\acreage.md,Images/acreage.svg,real_image
acrid,C:\GTT\EnglishDB\Words\a\acrid.md,Images/acrid.svg,real_image
acrobat,C:\GTT\EnglishDB\Words\a\acrobat.md,Images/acrobat.svg,real_image
acronym,C:\GTT\EnglishDB\Words\a\acronym.md,Images/acronym.svg,real_image
across,C:\GTT\EnglishDB\Words\a\across.md,Images/across.svg,real_image
acrylic,C:\GTT\EnglishDB\Words\a\acrylic.md,Images/acrylic.svg,real_image
act,C:\GTT\EnglishDB\Words\a\act.md,Images/act.svg,real_image
acting,C:\GTT\EnglishDB\Words\a\acting.md,Images/acting.svg,real_image
action,C:\GTT\EnglishDB\Words\a\action.md,Images/action.svg,real_image
activate,C:\GTT\EnglishDB\Words\a\activate.md,Images/activate.svg,real_image
activation,C:\GTT\EnglishDB\Words\a\activation.md,Images/activation.svg,real_image
active,C:\GTT\EnglishDB\Words\a\active.md,Images/active.svg,real_image
actively,C:\GTT\EnglishDB\Words\a\actively.md,Images/actively.svg,real_image
activism,C:\GTT\EnglishDB\Words\a\activism.md,Images/activism.svg,real_image
activist,C:\GTT\EnglishDB\Words\a\activist.md,Images/activist.svg,real_image
activity,C:\GTT\EnglishDB\Words\a\activity.md,Images/activity.svg,real_image
actor,C:\GTT\EnglishDB\Words\a\actor.md,Images/actor.svg,real_image
actress,C:\GTT\EnglishDB\Words\a\actress.md,Images/actress.svg,real_image
actual,C:\GTT\EnglishDB\Words\a\actual.md,Images/actual.svg,real_image
actuality,C:\GTT\EnglishDB\Words\a\actuality.md,Images/actuality.svg,real_image
actually,C:\GTT\EnglishDB\Words\a\actually.md,Images/actually.svg,real_image
actuator,C:\GTT\EnglishDB\Words\a\actuator.md,Images/actuator.svg,real_image
acuity,C:\GTT\EnglishDB\Words\a\acuity.md,Images/acuity.svg,real_image
acumen,C:\GTT\EnglishDB\Words\a\acumen.md,Images/acumen.svg,real_image
acupuncture,C:\GTT\EnglishDB\Words\a\acupuncture.md,Images/acupuncture.svg,real_image
acute,C:\GTT\EnglishDB\Words\a\acute.md,Images/acute.svg,real_image
acutely,C:\GTT\EnglishDB\Words\a\acutely.md,Images/acutely.svg,real_image
ad,C:\GTT\EnglishDB\Words\a\ad.md,Images/ad.svg,real_image
adage,C:\GTT\EnglishDB\Words\a\adage.md,Images/adage.svg,real_image
adamant,C:\GTT\EnglishDB\Words\a\adamant.md,Images/adamant.svg,real_image
adamantly,C:\GTT\EnglishDB\Words\a\adamantly.md,Images/adamantly.png,real_image
adapt,C:\GTT\EnglishDB\Words\a\adapt.md,Images/adapt.svg,real_image
adaptability,C:\GTT\EnglishDB\Words\a\adaptability.md,Images/adaptability.svg,real_image
adaptable,C:\GTT\EnglishDB\Words\a\adaptable.md,Images/adaptable.svg,real_image
adaptation,C:\GTT\EnglishDB\Words\a\adaptation.md,Images/adaptation.svg,real_image
adapter,C:\GTT\EnglishDB\Words\a\adapter.md,Images/adapter.svg,real_image
adaptive,C:\GTT\EnglishDB\Words\a\adaptive.md,Images/adaptive.svg,real_image
add,C:\GTT\EnglishDB\Words\a\add.md,Images/add.svg,real_image
added,C:\GTT\EnglishDB\Words\a\added.md,Images/added.svg,real_image
addict,C:\GTT\EnglishDB\Words\a\addict.md,Images/addict.svg,real_image
addiction,C:\GTT\EnglishDB\Words\a\addiction.md,Images/addiction.svg,real_image
addictive,C:\GTT\EnglishDB\Words\a\addictive.md,Images/addictive.svg,real_image
addition,C:\GTT\EnglishDB\Words\a\addition.md,Images/addition.svg,real_image
additional,C:\GTT\EnglishDB\Words\a\additional.md,Images/additional.svg,real_image
additionally,C:\GTT\EnglishDB\Words\a\additionally.md,Images/additionally.svg,real_image
additive,C:\GTT\EnglishDB\Words\a\additive.md,Images/additive.svg,real_image
address,C:\GTT\EnglishDB\Words\a\address.md,Images/address.svg,real_image
adept,C:\GTT\EnglishDB\Words\a\adept.md,Images/adept.svg,real_image
adequacy,C:\GTT\EnglishDB\Words\a\adequacy.md,Images/adequacy.svg,real_image
adequate,C:\GTT\EnglishDB\Words\a\adequate.md,Images/adequate.svg,real_image
adequately,C:\GTT\EnglishDB\Words\a\adequately.md,Images/adequately.svg,real_image
adhd,C:\GTT\EnglishDB\Words\a\adhd.md,Images/adhd.svg,real_image
adhere,C:\GTT\EnglishDB\Words\a\adhere.md,Images/adhere.svg,real_image
adherence,C:\GTT\EnglishDB\Words\a\adherence.md,Images/adherence.svg,real_image
adherent,C:\GTT\EnglishDB\Words\a\adherent.md,Images/adherent.svg,real_image
adhesive,C:\GTT\EnglishDB\Words\a\adhesive.md,Images/adhesive.svg,real_image
adjacent,C:\GTT\EnglishDB\Words\a\adjacent.md,Images/adjacent.svg,real_image
adjective,C:\GTT\EnglishDB\Words\a\adjective.md,Images/adjective.svg,real_image
adjoin,C:\GTT\EnglishDB\Words\a\adjoin.md,Images/adjoin.svg,real_image
adjoining,C:\GTT\EnglishDB\Words\a\adjoining.md,Images/adjoining.svg,real_image
adjourn,C:\GTT\EnglishDB\Words\a\adjourn.md,Images/adjourn.svg,real_image
adjudicate,C:\GTT\EnglishDB\Words\a\adjudicate.md,Images/adjudicate.svg,real_image
adjunct,C:\GTT\EnglishDB\Words\a\adjunct.md,Images/adjunct.svg,real_image
adjust,C:\GTT\EnglishDB\Words\a\adjust.md,Images/adjust.svg,real_image
adjustable,C:\GTT\EnglishDB\Words\a\adjustable.md,Images/adjustable.svg,real_image
adjusted,C:\GTT\EnglishDB\Words\a\adjusted.md,Images/adjusted.svg,real_image
adjuster,C:\GTT\EnglishDB\Words\a\adjuster.md,Images/adjuster.svg,real_image
adjustment,C:\GTT\EnglishDB\Words\a\adjustment.md,Images/adjustment.svg,real_image
administer,C:\GTT\EnglishDB\Words\a\administer.md,Images/administer.svg,real_image
administration,C:\GTT\EnglishDB\Words\a\administration.md,Images/administration.svg,real_image
administrative,C:\GTT\EnglishDB\Words\a\administrative.md,Images/administrative.svg,real_image
administrator,C:\GTT\EnglishDB\Words\a\administrator.md,Images/administrator.svg,real_image
admirable,C:\GTT\EnglishDB\Words\a\admirable.md,Images/admirable.svg,real_image
admirably,C:\GTT\EnglishDB\Words\a\admirably.md,Images/admirably.svg,real_image
admiral,C:\GTT\EnglishDB\Words\a\admiral.md,Images/admiral.svg,real_image
admiration,C:\GTT\EnglishDB\Words\a\admiration.md,Images/admiration.svg,real_image
admire,C:\GTT\EnglishDB\Words\a\admire.md,Images/admire.svg,real_image
admirer,C:\GTT\EnglishDB\Words\a\admirer.md,Images/admirer.svg,real_image
admiring,C:\GTT\EnglishDB\Words\a\admiring.md,Images/admiring.svg,real_image
admission,C:\GTT\EnglishDB\Words\a\admission.md,Images/admission.svg,real_image
admit,C:\GTT\EnglishDB\Words\a\admit.md,Images/admit.svg,real_image
admittedly,C:\GTT\EnglishDB\Words\a\admittedly.md,Images/admittedly.svg,real_image
admitting,C:\GTT\EnglishDB\Words\a\admitting.md,Images/admitting.svg,real_image
admonish,C:\GTT\EnglishDB\Words\a\admonish.md,Images/admonish.svg,real_image
admonition,C:\GTT\EnglishDB\Words\a\admonition.md,Images/admonition.svg,real_image
adobe,C:\GTT\EnglishDB\Words\a\adobe.md,Images/adobe.svg,real_image
adolescence,C:\GTT\EnglishDB\Words\a\adolescence.md,Images/adolescence.svg,real_image
adolescent,C:\GTT\EnglishDB\Words\a\adolescent.md,Images/adolescent.svg,real_image
adopt,C:\GTT\EnglishDB\Words\a\adopt.md,Images/adopt.svg,real_image
adopted,C:\GTT\EnglishDB\Words\a\adopted.md,Images/adopted.svg,real_image
adoption,C:\GTT\EnglishDB\Words\a\adoption.md,Images/adoption.svg,real_image
adoptive,C:\GTT\EnglishDB\Words\a\adoptive.md,Images/adoptive.svg,real_image
adorable,C:\GTT\EnglishDB\Words\a\adorable.md,Images/adorable.svg,real_image
adoration,C:\GTT\EnglishDB\Words\a\adoration.md,Images/adoration.svg,real_image
adore,C:\GTT\EnglishDB\Words\a\adore.md,Images/adore.svg,real_image
adoring,C:\GTT\EnglishDB\Words\a\adoring.md,Images/adoring.svg,real_image
adorn,C:\GTT\EnglishDB\Words\a\adorn.md,Images/adorn.svg,real_image
adornment,C:\GTT\EnglishDB\Words\a\adornment.md,Images/adornment.svg,real_image
adrenaline,C:\GTT\EnglishDB\Words\a\adrenaline.md,Images/adrenaline.svg,real_image
adrift,C:\GTT\EnglishDB\Words\a\adrift.md,Images/adrift.svg,real_image
adulation,C:\GTT\EnglishDB\Words\a\adulation.md,Images/adulation.svg,real_image
adult,C:\GTT\EnglishDB\Words\a\adult.md,Images/adult.svg,real_image
adultery,C:\GTT\EnglishDB\Words\a\adultery.md,Images/adultery.svg,real_image
adulthood,C:\GTT\EnglishDB\Words\a\adulthood.md,Images/adulthood.svg,real_image
advance,C:\GTT\EnglishDB\Words\a\advance.md,Images/advance.svg,real_image
advanced,C:\GTT\EnglishDB\Words\a\advanced.md,Images/advanced.svg,real_image
advancement,C:\GTT\EnglishDB\Words\a\advancement.md,Images/advancement.svg,real_image
advancing,C:\GTT\EnglishDB\Words\a\advancing.md,Images/advancing.svg,real_image
advantage,C:\GTT\EnglishDB\Words\a\advantage.md,Images/advantage.svg,real_image
advantageous,C:\GTT\EnglishDB\Words\a\advantageous.md,Images/advantageous.svg,real_image
advent,C:\GTT\EnglishDB\Words\a\advent.md,Images/advent.svg,real_image
adventure,C:\GTT\EnglishDB\Words\a\adventure.md,Images/adventure.svg,real_image
adventurer,C:\GTT\EnglishDB\Words\a\adventurer.md,Images/adventurer.svg,real_image
adventurous,C:\GTT\EnglishDB\Words\a\adventurous.md,Images/adventurous.svg,real_image
adversarial,C:\GTT\EnglishDB\Words\a\adversarial.md,Images/adversarial.svg,real_image
adversary,C:\GTT\EnglishDB\Words\a\adversary.md,Images/adversary.svg,real_image
adverse,C:\GTT\EnglishDB\Words\a\adverse.md,Images/adverse.svg,real_image
adversely,C:\GTT\EnglishDB\Words\a\adversely.md,Images/adversely.svg,real_image
adversity,C:\GTT\EnglishDB\Words\a\adversity.md,Images/adversity.svg,real_image
advertise,C:\GTT\EnglishDB\Words\a\advertise.md,Images/advertise.svg,real_image
advertisement,C:\GTT\EnglishDB\Words\a\advertisement.md,Images/advertisement.svg,real_image
advertiser,C:\GTT\EnglishDB\Words\a\advertiser.md,Images/advertiser.svg,real_image
advertising,C:\GTT\EnglishDB\Words\a\advertising.md,Images/advertising.svg,real_image
advice,C:\GTT\EnglishDB\Words\a\advice.md,Images/advice.svg,real_image
advisable,C:\GTT\EnglishDB\Words\a\advisable.md,Images/advisable.svg,real_image
advise,C:\GTT\EnglishDB\Words\a\advise.md,Images/advise.svg,real_image
adviser,C:\GTT\EnglishDB\Words\a\adviser.md,Images/adviser.svg,real_image
advisor,C:\GTT\EnglishDB\Words\a\advisor.md,Images/advisor.svg,real_image
advisory,C:\GTT\EnglishDB\Words\a\advisory.md,Images/advisory.svg,real_image
advocacy,C:\GTT\EnglishDB\Words\a\advocacy.md,Images/advocacy.svg,real_image
advocate,C:\GTT\EnglishDB\Words\a\advocate.md,Images/advocate.svg,real_image
aegis,C:\GTT\EnglishDB\Words\a\aegis.md,Images/aegis.svg,real_image
aerial,C:\GTT\EnglishDB\Words\a\aerial.md,Images/aerial.svg,real_image
aerobic,C:\GTT\EnglishDB\Words\a\aerobic.md,Images/aerobic.svg,real_image
aerobics,C:\GTT\EnglishDB\Words\a\aerobics.md,Images/aerobics.svg,real_image
aerodynamic,C:\GTT\EnglishDB\Words\a\aerodynamic.md,Images/aerodynamic.svg,real_image
aerosol,C:\GTT\EnglishDB\Words\a\aerosol.md,Images/aerosol.svg,real_image
aerospace,C:\GTT\EnglishDB\Words\a\aerospace.md,Images/aerospace.svg,real_image
aesthetic,C:\GTT\EnglishDB\Words\a\aesthetic.md,Images/aesthetic.svg,real_image
aesthetically,C:\GTT\EnglishDB\Words\a\aesthetically.md,Images/aesthetically.svg,real_image
aesthetics,C:\GTT\EnglishDB\Words\a\aesthetics.md,Images/aesthetics.svg,real_image
afar,C:\GTT\EnglishDB\Words\a\afar.md,Images/afar.svg,real_image
affable,C:\GTT\EnglishDB\Words\a\affable.md,Images/affable.svg,real_image
affair,C:\GTT\EnglishDB\Words\a\affair.md,Images/affair.svg,real_image
affect,C:\GTT\EnglishDB\Words\a\affect.md,Images/affect.svg,real_image
affected,C:\GTT\EnglishDB\Words\a\affected.md,Images/affected.svg,real_image
affection,C:\GTT\EnglishDB\Words\a\affection.md,Images/affection.svg,real_image
affectionate,C:\GTT\EnglishDB\Words\a\affectionate.md,Images/affectionate.svg,real_image
affectionately,C:\GTT\EnglishDB\Words\a\affectionately.md,Images/affectionately.svg,real_image
affective,C:\GTT\EnglishDB\Words\a\affective.md,Images/affective.svg,real_image
affidavit,C:\GTT\EnglishDB\Words\a\affidavit.md,Images/affidavit.svg,real_image
affiliate,C:\GTT\EnglishDB\Words\a\affiliate.md,Images/affiliate.svg,real_image
affiliated,C:\GTT\EnglishDB\Words\a\affiliated.md,Images/affiliated.svg,real_image
affiliation,C:\GTT\EnglishDB\Words\a\affiliation.md,Images/affiliation.svg,real_image
affinity,C:\GTT\EnglishDB\Words\a\affinity.md,Images/affinity.svg,real_image
affirm,C:\GTT\EnglishDB\Words\a\affirm.md,Images/affirm.svg,real_image
affirmation,C:\GTT\EnglishDB\Words\a\affirmation.md,Images/affirmation.svg,real_image
affirmative,C:\GTT\EnglishDB\Words\a\affirmative.md,Images/affirmative.svg,real_image
