Root,Meaning,Count,ExampleWords
mov,动,12,fast-moving movable move movement mover movie moviegoer moving removable removal remove slow-moving
rupt,破,11,abrupt abruptly bankrupt bankruptcy corrupt disrupt disruptive erupt interrupt rupture uninterrupted
tele,远,11,clientele platelet telecast telecom telecommunications telegram telescope telescopic televise televised television
miss,送,10,amiss commissioner dismiss dismissal dismissive emissary miss permissible permissive submissive
spic,看,10,auspice conspicuous conspicuously despicable hospice spice spicy suspicion suspicious suspiciously
sect,切,10,cross-sectional dissect insect insecticide intersect private-sector sect sectarian sectional sector
volv,卷,10,devolve evolve evolved evolving involve involved involvement revolve revolver revolving
chron,时间,9,anachronism anachronistic chronic chronically chronicle chronicler chronological chronology synchronize
anim,生命,9,animal animate animated animation animosity inanimate unanimity unanimous unanimously
cede,走,8,accede cede concede intercede precede recede secede unprecedented
script,写,8,conscript descriptive descriptor manuscript nondescript script scriptural scripture
ceed,走,6,exceed exceedingly proceed proceedings proceeds succeeding
photo,光,5,photo photocopy photon photosynthesis photovoltaic
bio,生命,3,antibiotic microbiologist symbiotic
auto,自,2,auto semi-automatic
meter,测量,1,cemetery
