Word,Encoding,TokenIDs,TokenPieces,TokenCount,SingleToken,Token1,Piece1,Token2,Piece2,Token3,Piece3,Token4,Piece4,Token5,Piece5,Token6,Piece6,Token7,Piece7,Token8,Piece8,TokenID,GTT,GTT码,GTT字,Chinese,POS,Frequency
abolitionist,o200k_base,21921 868 421,abol | ition | ist,3,NO,21921,abol,868,ition,421,ist,,,,,,,,,,,30,,,,,,
abomination,o200k_base,378 174139,ab | omination,2,NO,378,ab,174139,omination,,,,,,,,,,,,,31,,,,,,
aboriginal,o200k_base,4181 3600,abor | iginal,2,NO,4181,abor,3600,iginal,,,,,,,,,,,,,32,,,,,,
abort,o200k_base,118932,abort,1,YES,118932,abort,,,,,,,,,,,,,,,33,,,,,,
abortion,o200k_base,378 51871,ab | ortion,2,NO,378,ab,51871,ortion,,,,,,,,,,,,,34,,,,,,
abound,o200k_base,378 895,ab | ound,2,NO,378,ab,895,ound,,,,,,,,,,,,,35,,,,,,
about,o200k_base,15551,about,1,YES,15551,about,,,,,,,,,,,,,,,36,,,,,,
above-average,o200k_base,89414 185420,above | -average,2,NO,89414,above,185420,-average,,,,,,,,,,,,,37,,,,,,
above,o200k_base,89414,above,1,YES,89414,above,,,,,,,,,,,,,,,38,,,,,,
abrasion,o200k_base,127488 294,abras | ion,2,NO,127488,abras,294,ion,,,,,,,,,,,,,39,,,,,,
abrasive,o200k_base,127488 585,abras | ive,2,NO,127488,abras,585,ive,,,,,,,,,,,,,40,,,,,,
abreast,o200k_base,125009 629,abre | ast,2,NO,125009,abre,629,ast,,,,,,,,,,,,,41,,,,,,
abroad,o200k_base,378 12086,ab | road,2,NO,378,ab,12086,road,,,,,,,,,,,,,42,,,,,,
abrupt,o200k_base,378 7736,ab | rupt,2,NO,378,ab,7736,rupt,,,,,,,,,,,,,43,,,,,,
abruptly,o200k_base,378 7736 423,ab | rupt | ly,3,NO,378,ab,7736,rupt,423,ly,,,,,,,,,,,44,,,,,,
abscess,o200k_base,6071 1185,abs | cess,2,NO,6071,abs,1185,cess,,,,,,,,,,,,,45,,,,,,
absence,o200k_base,99054,absence,1,YES,99054,absence,,,,,,,,,,,,,,,46,,,,,,
absent,o200k_base,6071 299,abs | ent,2,NO,6071,abs,299,ent,,,,,,,,,,,,,47,,,,,,
absentee,o200k_base,6071 139268,abs | entee,2,NO,6071,abs,139268,entee,,,,,,,,,,,,,48,,,,,,
absently,o200k_base,6071 3874,abs | ently,2,NO,6071,abs,3874,ently,,,,,,,,,,,,,49,,,,,,
absolute,o200k_base,30217,absolute,1,YES,30217,absolute,,,,,,,,,,,,,,,50,,,,,,
absolutely,o200k_base,378 55885,ab | solutely,2,NO,378,ab,55885,solutely,,,,,,,,,,,,,51,,,,,,
absolve,o200k_base,378 117273,ab | solve,2,NO,378,ab,117273,solve,,,,,,,,,,,,,52,,,,,,
absorb,o200k_base,6071 47791,abs | orb,2,NO,6071,abs,47791,orb,,,,,,,,,,,,,53,,,,,,
absorbing,o200k_base,138976 33060,absor | bing,2,NO,138976,absor,33060,bing,,,,,,,,,,,,,54,,,,,,
absorption,o200k_base,6071 76741,abs | orption,2,NO,6071,abs,76741,orption,,,,,,,,,,,,,55,,,,,,
abstain,o200k_base,378 302 524,ab | st | ain,3,NO,378,ab,302,st,524,ain,,,,,,,,,,,56,,,,,,
abstinence,o200k_base,378 164615 1082,ab | stin | ence,3,NO,378,ab,164615,stin,1082,ence,,,,,,,,,,,57,,,,,,
abstract,o200k_base,31332,abstract,1,YES,31332,abstract,,,,,,,,,,,,,,,58,,,,,,
abstraction,o200k_base,378 79887,ab | straction,2,NO,378,ab,79887,straction,,,,,,,,,,,,,59,,,,,,
absurd,o200k_base,6071 18270,abs | urd,2,NO,6071,abs,18270,urd,,,,,,,,,,,,,60,,,,,,
absurdity,o200k_base,6071 18270 536,abs | urd | ity,3,NO,6071,abs,18270,urd,536,ity,,,,,,,,,,,61,,,,,,
absurdly,o200k_base,6071 18270 423,abs | urd | ly,3,NO,6071,abs,18270,urd,423,ly,,,,,,,,,,,62,,,,,,
abundance,o200k_base,378 176409,ab | undance,2,NO,378,ab,176409,undance,,,,,,,,,,,,,63,,,,,,
abundant,o200k_base,378 170136,ab | undant,2,NO,378,ab,170136,undant,,,,,,,,,,,,,64,,,,,,
abundantly,o200k_base,378 980 29180,ab | und | antly,3,NO,378,ab,980,und,29180,antly,,,,,,,,,,,65,,,,,,
abuse,o200k_base,378 1821,ab | use,2,NO,378,ab,1821,use,,,,,,,,,,,,,66,,,,,,
abused,o200k_base,378 4943,ab | used,2,NO,378,ab,4943,used,,,,,,,,,,,,,67,,,,,,
abuser,o200k_base,378 1428,ab | user,2,NO,378,ab,1428,user,,,,,,,,,,,,,68,,,,,,
abusive,o200k_base,378 29930,ab | usive,2,NO,378,ab,29930,usive,,,,,,,,,,,,,69,,,,,,
abut,o200k_base,181460,abut,1,YES,181460,abut,,,,,,,,,,,,,,,70,,,,,,
abysmal,o200k_base,378 1371 9616,ab | ys | mal,3,NO,378,ab,1371,ys,9616,mal,,,,,,,,,,,71,,,,,,
abyss,o200k_base,13788 1087,aby | ss,2,NO,13788,aby,1087,ss,,,,,,,,,,,,,72,,,,,,
academia,o200k_base,90781 535,academ | ia,2,NO,90781,academ,535,ia,,,,,,,,,,,,,73,,,,,,
academic,o200k_base,188392,academic,1,YES,188392,academic,,,,,,,,,,,,,,,74,,,,,,
academically,o200k_base,90781 2905,academ | ically,2,NO,90781,academ,2905,ically,,,,,,,,,,,,,75,,,,,,
academy,o200k_base,174453,academy,1,YES,174453,academy,,,,,,,,,,,,,,,76,,,,,,
accede,o200k_base,359 163658,ac | cede,2,NO,359,ac,163658,cede,,,,,,,,,,,,,77,,,,,,
accelerate,o200k_base,183742 379,acceler | ate,2,NO,183742,acceler,379,ate,,,,,,,,,,,,,78,,,,,,
accelerated,o200k_base,183742 780,acceler | ated,2,NO,183742,acceler,780,ated,,,,,,,,,,,,,79,,,,,,
accelerating,o200k_base,183742 1365,acceler | ating,2,NO,183742,acceler,1365,ating,,,,,,,,,,,,,80,,,,,,
acceleration,o200k_base,3717 56956,acc | eleration,2,NO,3717,acc,56956,eleration,,,,,,,,,,,,,81,,,,,,
accelerator,o200k_base,183742 1246,acceler | ator,2,NO,183742,acceler,1246,ator,,,,,,,,,,,,,82,,,,,,
accent,o200k_base,181284,accent,1,YES,181284,accent,,,,,,,,,,,,,,,83,,,,,,
accentuate,o200k_base,181284 92403,accent | uate,2,NO,181284,accent,92403,uate,,,,,,,,,,,,,84,,,,,,
accept,o200k_base,18735,accept,1,YES,18735,accept,,,,,,,,,,,,,,,85,,,,,,
acceptability,o200k_base,18735 3563,accept | ability,2,NO,18735,accept,3563,ability,,,,,,,,,,,,,86,,,,,,
acceptable,o200k_base,78515,acceptable,1,YES,78515,acceptable,,,,,,,,,,,,,,,87,,,,,,
acceptance,o200k_base,18735 766,accept | ance,2,NO,18735,accept,766,ance,,,,,,,,,,,,,88,,,,,,
accepted,o200k_base,91211,accepted,1,YES,91211,accepted,,,,,,,,,,,,,,,89,,,,,,
access,o200k_base,9687,access,1,YES,9687,access,,,,,,,,,,,,,,,90,,,,,,
accessibility,o200k_base,9687 4295,access | ibility,2,NO,9687,access,4295,ibility,,,,,,,,,,,,,91,,,,,,
accessible,o200k_base,109920,accessible,1,YES,109920,accessible,,,,,,,,,,,,,,,92,,,,,,
accession,o200k_base,9687 294,access | ion,2,NO,9687,access,294,ion,,,,,,,,,,,,,93,,,,,,
accessory,o200k_base,9687 819,access | ory,2,NO,9687,access,819,ory,,,,,,,,,,,,,94,,,,,,
accident,o200k_base,3717 2477,acc | ident,2,NO,3717,acc,2477,ident,,,,,,,,,,,,,95,,,,,,
accidental,o200k_base,3717 60344,acc | idental,2,NO,3717,acc,60344,idental,,,,,,,,,,,,,96,,,,,,
accidentally,o200k_base,3717 2477 2146,acc | ident | ally,3,NO,3717,acc,2477,ident,2146,ally,,,,,,,,,,,97,,,,,,
acclaim,o200k_base,359 18410,ac | claim,2,NO,359,ac,18410,claim,,,,,,,,,,,,,98,,,,,,
acclaimed,o200k_base,359 33324,ac | claimed,2,NO,359,ac,33324,claimed,,,,,,,,,,,,,99,,,,,,
accolade,o200k_base,359 1798 973,ac | col | ade,3,NO,359,ac,1798,col,973,ade,,,,,,,,,,,100,,,,,,
accommodate,o200k_base,359 11857 379,ac | commod | ate,3,NO,359,ac,11857,commod,379,ate,,,,,,,,,,,101,,,,,,
accommodation,o200k_base,359 74623,ac | commodation,2,NO,359,ac,74623,commodation,,,,,,,,,,,,,102,,,,,,
accompaniment,o200k_base,359 115382 2581,ac | compan | iment,3,NO,359,ac,115382,compan,2581,iment,,,,,,,,,,,103,,,,,,
accompany,o200k_base,359 13003,ac | company,2,NO,359,ac,13003,company,,,,,,,,,,,,,104,,,,,,
accompanying,o200k_base,359 13003 289,ac | company | ing,3,NO,359,ac,13003,company,289,ing,,,,,,,,,,,105,,,,,,
accomplice,o200k_base,359 3697 7321,ac | comp | lice,3,NO,359,ac,3697,comp,7321,lice,,,,,,,,,,,106,,,,,,
accomplish,o200k_base,359 14845 1109,ac | compl | ish,3,NO,359,ac,14845,compl,1109,ish,,,,,,,,,,,107,,,,,,
accomplished,o200k_base,359 14845 2753,ac | compl | ished,3,NO,359,ac,14845,compl,2753,ished,,,,,,,,,,,108,,,,,,
accomplishment,o200k_base,359 14845 32705,ac | compl | ishment,3,NO,359,ac,14845,compl,32705,ishment,,,,,,,,,,,109,,,,,,
accord,o200k_base,32934,accord,1,YES,32934,accord,,,,,,,,,,,,,,,110,,,,,,
accordance,o200k_base,32934 766,accord | ance,2,NO,32934,accord,766,ance,,,,,,,,,,,,,111,,,,,,
according,o200k_base,149330,according,1,YES,149330,according,,,,,,,,,,,,,,,112,,,,,,
accordingly,o200k_base,32934 18258,accord | ingly,2,NO,32934,accord,18258,ingly,,,,,,,,,,,,,113,,,,,,
accordion,o200k_base,72523,accordion,1,YES,72523,accordion,,,,,,,,,,,,,,,114,,,,,,
accost,o200k_base,3717 564,acc | ost,2,NO,3717,acc,564,ost,,,,,,,,,,,,,115,,,,,,
account,o200k_base,8218,account,1,YES,8218,account,,,,,,,,,,,,,,,116,,,,,,
accountability,o200k_base,8218 3563,account | ability,2,NO,8218,account,3563,ability,,,,,,,,,,,,,117,,,,,,
accountable,o200k_base,8218 562,account | able,2,NO,8218,account,562,able,,,,,,,,,,,,,118,,,,,,
accountant,o200k_base,8218 493,account | ant,2,NO,8218,account,493,ant,,,,,,,,,,,,,119,,,,,,
accounting,o200k_base,8218 289,account | ing,2,NO,8218,account,289,ing,,,,,,,,,,,,,120,,,,,,
accredit,o200k_base,359 20082,ac | credit,2,NO,359,ac,20082,credit,,,,,,,,,,,,,121,,,,,,
accreditation,o200k_base,359 20082 387,ac | credit | ation,3,NO,359,ac,20082,credit,387,ation,,,,,,,,,,,122,,,,,,
accredited,o200k_base,359 151179,ac | credited,2,NO,359,ac,151179,credited,,,,,,,,,,,,,123,,,,,,
accretion,o200k_base,359 159894,ac | cretion,2,NO,359,ac,159894,cretion,,,,,,,,,,,,,124,,,,,,
accrue,o200k_base,359 798 466,ac | cr | ue,3,NO,359,ac,798,cr,466,ue,,,,,,,,,,,125,,,,,,
acculturation,o200k_base,3717 576 3306,acc | ult | uration,3,NO,3717,acc,576,ult,3306,uration,,,,,,,,,,,126,,,,,,
accumulate,o200k_base,3717 134636,acc | umulate,2,NO,3717,acc,134636,umulate,,,,,,,,,,,,,127,,,,,,
accumulated,o200k_base,3717 394 13314,acc | um | ulated,3,NO,3717,acc,394,um,13314,ulated,,,,,,,,,,,128,,,,,,
accumulation,o200k_base,3717 394 4672,acc | um | ulation,3,NO,3717,acc,394,um,4672,ulation,,,,,,,,,,,129,,,,,,
accuracy,o200k_base,50576,accuracy,1,YES,50576,accuracy,,,,,,,,,,,,,,,130,,,,,,
accurate,o200k_base,33206 379,accur | ate,2,NO,33206,accur,379,ate,,,,,,,,,,,,,131,,,,,,
accurately,o200k_base,33206 3721,accur | ately,2,NO,33206,accur,3721,ately,,,,,,,,,,,,,132,,,,,,
accusation,o200k_base,3717 385 387,acc | us | ation,3,NO,3717,acc,385,us,387,ation,,,,,,,,,,,133,,,,,,
accuse,o200k_base,3717 1821,acc | use,2,NO,3717,acc,1821,use,,,,,,,,,,,,,134,,,,,,
accused,o200k_base,3717 4943,acc | used,2,NO,3717,acc,4943,used,,,,,,,,,,,,,135,,,,,,
accuser,o200k_base,3717 1428,acc | user,2,NO,3717,acc,1428,user,,,,,,,,,,,,,136,,,,,,
accustom,o200k_base,3717 1649,acc | ustom,2,NO,3717,acc,1649,ustom,,,,,,,,,,,,,137,,,,,,
accustomed,o200k_base,3717 87293,acc | ustomed,2,NO,3717,acc,87293,ustomed,,,,,,,,,,,,,138,,,,,,
ace,o200k_base,675,ace,1,YES,675,ace,,,,,,,,,,,,,,,139,,,,,,
ache,o200k_base,2285,ache,1,YES,2285,ache,,,,,,,,,,,,,,,140,,,,,,
achievable,o200k_base,678 45794,ach | ievable,2,NO,678,ach,45794,ievable,,,,,,,,,,,,,141,,,,,,
achieve,o200k_base,678 3703,ach | ieve,2,NO,678,ach,3703,ieve,,,,,,,,,,,,,142,,,,,,
achievement,o200k_base,168831,achievement,1,YES,168831,achievement,,,,,,,,,,,,,,,143,,,,,,
achiever,o200k_base,678 46620,ach | iever,2,NO,678,ach,46620,iever,,,,,,,,,,,,,144,,,,,,
aching,o200k_base,15893,aching,1,YES,15893,aching,,,,,,,,,,,,,,,145,,,,,,
acid,o200k_base,113060,acid,1,YES,113060,acid,,,,,,,,,,,,,,,146,,,,,,
acidic,o200k_base,113060 291,acid | ic,2,NO,113060,acid,291,ic,,,,,,,,,,,,,147,,,,,,
acidity,o200k_base,359 17644,ac | idity,2,NO,359,ac,17644,idity,,,,,,,,,,,,,148,,,,,,
acknowledge,o200k_base,552 6201 5721,ack | now | ledge,3,NO,552,ack,6201,now,5721,ledge,,,,,,,,,,,149,,,,,,
acknowledged,o200k_base,552 6201 141115,ack | now | ledged,3,NO,552,ack,6201,now,141115,ledged,,,,,,,,,,,150,,,,,,
acknowledgement,o200k_base,552 6201 1084 48431,ack | now | led | gement,4,NO,552,ack,6201,now,1084,led,48431,gement,,,,,,,,,151,,,,,,
acknowledgment,o200k_base,552 6201 1084 21334,ack | now | led | gment,4,NO,552,ack,6201,now,1084,led,21334,gment,,,,,,,,,152,,,,,,
acne,o200k_base,359 611,ac | ne,2,NO,359,ac,611,ne,,,,,,,,,,,,,153,,,,,,
acorn,o200k_base,359 2558,ac | orn,2,NO,359,ac,2558,orn,,,,,,,,,,,,,154,,,,,,
acoustic,o200k_base,359 46676,ac | oustic,2,NO,359,ac,46676,oustic,,,,,,,,,,,,,155,,,,,,
acquaint,o200k_base,359 351 4649,ac | qu | aint,3,NO,359,ac,351,qu,4649,aint,,,,,,,,,,,156,,,,,,
acquaintance,o200k_base,359 351 4649 766,ac | qu | aint | ance,4,NO,359,ac,351,qu,4649,aint,766,ance,,,,,,,,,157,,,,,,
acquiesce,o200k_base,359 351 566 400,ac | qu | ies | ce,4,NO,359,ac,351,qu,566,ies,400,ce,,,,,,,,,158,,,,,,
acquiescence,o200k_base,359 351 566 69973,ac | qu | ies | cence,4,NO,359,ac,351,qu,566,ies,69973,cence,,,,,,,,,159,,,,,,
acquire,o200k_base,359 1344,ac | quire,2,NO,359,ac,1344,quire,,,,,,,,,,,,,160,,,,,,
acquired,o200k_base,359 5176,ac | quired,2,NO,359,ac,5176,quired,,,,,,,,,,,,,161,,,,,,
acquisition,o200k_base,359 22886,ac | quisition,2,NO,359,ac,22886,quisition,,,,,,,,,,,,,162,,,,,,
acquit,o200k_base,359 45414,ac | quit,2,NO,359,ac,45414,quit,,,,,,,,,,,,,163,,,,,,
acquittal,o200k_base,359 351 1387 280,ac | qu | itt | al,4,NO,359,ac,351,qu,1387,itt,280,al,,,,,,,,,164,,,,,,
acreage,o200k_base,65828 477,acre | age,2,NO,65828,acre,477,age,,,,,,,,,,,,,165,,,,,,
acrid,o200k_base,359 66452,ac | rid,2,NO,359,ac,66452,rid,,,,,,,,,,,,,166,,,,,,
acrobat,o200k_base,87693 15896,acro | bat,2,NO,87693,acro,15896,bat,,,,,,,,,,,,,167,,,,,,
acronym,o200k_base,359 2963 1818,ac | ron | ym,3,NO,359,ac,2963,ron,1818,ym,,,,,,,,,,,168,,,,,,
across,o200k_base,359 2838,ac | ross,2,NO,359,ac,2838,ross,,,,,,,,,,,,,169,,,,,,
acrylic,o200k_base,359 1102 459,ac | ry | lic,3,NO,359,ac,1102,ry,459,lic,,,,,,,,,,,170,,,,,,
act,o200k_base,588,act,1,YES,588,act,,,,,,,,,,,,,,,171,,,,,,
acting,o200k_base,79900,acting,1,YES,79900,acting,,,,,,,,,,,,,,,172,,,,,,
action,o200k_base,1976,action,1,YES,1976,action,,,,,,,,,,,,,,,173,,,,,,
activate,o200k_base,31629,activate,1,YES,31629,activate,,,,,,,,,,,,,,,174,,,,,,
activation,o200k_base,45231,activation,1,YES,45231,activation,,,,,,,,,,,,,,,175,,,,,,
active,o200k_base,5039,active,1,YES,5039,active,,,,,,,,,,,,,,,176,,,,,,
actively,o200k_base,110694,actively,1,YES,110694,actively,,,,,,,,,,,,,,,177,,,,,,
activism,o200k_base,12727 2367,activ | ism,2,NO,12727,activ,2367,ism,,,,,,,,,,,,,178,,,,,,
activist,o200k_base,12727 421,activ | ist,2,NO,12727,activ,421,ist,,,,,,,,,,,,,179,,,,,,
activity,o200k_base,11896,activity,1,YES,11896,activity,,,,,,,,,,,,,,,180,,,,,,
actor,o200k_base,8428,actor,1,YES,8428,actor,,,,,,,,,,,,,,,181,,,,,,
actress,o200k_base,588 799,act | ress,2,NO,588,act,799,ress,,,,,,,,,,,,,182,,,,,,
actual,o200k_base,19106,actual,1,YES,19106,actual,,,,,,,,,,,,,,,183,,,,,,
actuality,o200k_base,19106 536,actual | ity,2,NO,19106,actual,536,ity,,,,,,,,,,,,,184,,,,,,
actually,o200k_base,138925,actually,1,YES,138925,actually,,,,,,,,,,,,,,,185,,,,,,
actuator,o200k_base,588 120956,act | uator,2,NO,588,act,120956,uator,,,,,,,,,,,,,186,,,,,,
acuity,o200k_base,43575 536,acu | ity,2,NO,43575,acu,536,ity,,,,,,,,,,,,,187,,,,,,
acumen,o200k_base,359 17512,ac | umen,2,NO,359,ac,17512,umen,,,,,,,,,,,,,188,,,,,,
acupuncture,o200k_base,359 89725,ac | upuncture,2,NO,359,ac,89725,upuncture,,,,,,,,,,,,,189,,,,,,
acute,o200k_base,31898,acute,1,YES,31898,acute,,,,,,,,,,,,,,,190,,,,,,
acutely,o200k_base,359 47499,ac | utely,2,NO,359,ac,47499,utely,,,,,,,,,,,,,191,,,,,,
ad,o200k_base,324,ad,1,YES,324,ad,,,,,,,,,,,,,,,192,,,,,,
adage,o200k_base,324 477,ad | age,2,NO,324,ad,477,age,,,,,,,,,,,,,193,,,,,,
adamant,o200k_base,70092 493,adam | ant,2,NO,70092,adam,493,ant,,,,,,,,,,,,,194,,,,,,
adamantly,o200k_base,70092 29180,adam | antly,2,NO,70092,adam,29180,antly,,,,,,,,,,,,,195,,,,,,
adapt,o200k_base,119036,adapt,1,YES,119036,adapt,,,,,,,,,,,,,,,196,,,,,,
adaptability,o200k_base,119036 3563,adapt | ability,2,NO,119036,adapt,3563,ability,,,,,,,,,,,,,197,,,,,,
adaptable,o200k_base,119036 562,adapt | able,2,NO,119036,adapt,562,able,,,,,,,,,,,,,198,,,,,,
adaptation,o200k_base,119036 387,adapt | ation,2,NO,119036,adapt,387,ation,,,,,,,,,,,,,199,,,,,,
adapter,o200k_base,55447,adapter,1,YES,55447,adapter,,,,,,,,,,,,,,,200,,,,,,
adaptive,o200k_base,93162,adaptive,1,YES,93162,adaptive,,,,,,,,,,,,,,,201,,,,,,
add,o200k_base,964,add,1,YES,964,add,,,,,,,,,,,,,,,202,,,,,,
added,o200k_base,28841,added,1,YES,28841,added,,,,,,,,,,,,,,,203,,,,,,
addict,o200k_base,964 1360,add | ict,2,NO,964,add,1360,ict,,,,,,,,,,,,,204,,,,,,
addiction,o200k_base,964 4090,add | iction,2,NO,964,add,4090,iction,,,,,,,,,,,,,205,,,,,,
addictive,o200k_base,964 190098,add | ictive,2,NO,964,add,190098,ictive,,,,,,,,,,,,,206,,,,,,
addition,o200k_base,198155,addition,1,YES,198155,addition,,,,,,,,,,,,,,,207,,,,,,
additional,o200k_base,69631,additional,1,YES,69631,additional,,,,,,,,,,,,,,,208,,,,,,
additionally,o200k_base,964 20300,add | itionally,2,NO,964,add,20300,itionally,,,,,,,,,,,,,209,,,,,,
additive,o200k_base,964 4171,add | itive,2,NO,964,add,4171,itive,,,,,,,,,,,,,210,,,,,,
address,o200k_base,6104,address,1,YES,6104,address,,,,,,,,,,,,,,,211,,,,,,
adept,o200k_base,973 555,ade | pt,2,NO,973,ade,555,pt,,,,,,,,,,,,,212,,,,,,
adequacy,o200k_base,57257 3805,adequ | acy,2,NO,57257,adequ,3805,acy,,,,,,,,,,,,,213,,,,,,
adequate,o200k_base,57257 379,adequ | ate,2,NO,57257,adequ,379,ate,,,,,,,,,,,,,214,,,,,,
adequately,o200k_base,57257 3721,adequ | ately,2,NO,57257,adequ,3721,ately,,,,,,,,,,,,,215,,,,,,
adhd,o200k_base,7422 67,adh | d,2,NO,7422,adh,67,d,,,,,,,,,,,,,216,,,,,,
adhere,o200k_base,7422 512,adh | ere,2,NO,7422,adh,512,ere,,,,,,,,,,,,,217,,,,,,
adherence,o200k_base,324 172663,ad | herence,2,NO,324,ad,172663,herence,,,,,,,,,,,,,218,,,,,,
adherent,o200k_base,324 117353,ad | herent,2,NO,324,ad,117353,herent,,,,,,,,,,,,,219,,,,,,
adhesive,o200k_base,7422 268 585,adh | es | ive,3,NO,7422,adh,268,es,585,ive,,,,,,,,,,,220,,,,,,
adjacent,o200k_base,57001 28063,adj | acent,2,NO,57001,adj,28063,acent,,,,,,,,,,,,,221,,,,,,
adjective,o200k_base,324 193237,ad | jective,2,NO,324,ad,193237,jective,,,,,,,,,,,,,222,,,,,,
adjoin,o200k_base,324 10891,ad | join,2,NO,324,ad,10891,join,,,,,,,,,,,,,223,,,,,,
adjoining,o200k_base,324 102014,ad | joining,2,NO,324,ad,102014,joining,,,,,,,,,,,,,224,,,,,,
adjourn,o200k_base,57001 4727,adj | ourn,2,NO,57001,adj,4727,ourn,,,,,,,,,,,,,225,,,,,,
adjudicate,o200k_base,324 15985 8091,ad | jud | icate,3,NO,324,ad,15985,jud,8091,icate,,,,,,,,,,,226,,,,,,
adjunct,o200k_base,57001 29752,adj | unct,2,NO,57001,adj,29752,unct,,,,,,,,,,,,,227,,,,,,
adjust,o200k_base,78460,adjust,1,YES,78460,adjust,,,,,,,,,,,,,,,228,,,,,,
adjustable,o200k_base,78460 562,adjust | able,2,NO,78460,adjust,562,able,,,,,,,,,,,,,229,,,,,,
adjusted,o200k_base,78460 295,adjust | ed,2,NO,78460,adjust,295,ed,,,,,,,,,,,,,230,,,,,,
adjuster,o200k_base,78460 259,adjust | er,2,NO,78460,adjust,259,er,,,,,,,,,,,,,231,,,,,,
adjustment,o200k_base,78460 508,adjust | ment,2,NO,78460,adjust,508,ment,,,,,,,,,,,,,232,,,,,,
administer,o200k_base,5764 1947,admin | ister,2,NO,5764,admin,1947,ister,,,,,,,,,,,,,233,,,,,,
administration,o200k_base,65333 387,administr | ation,2,NO,65333,administr,387,ation,,,,,,,,,,,,,234,,,,,,
administrative,o200k_base,65333 1799,administr | ative,2,NO,65333,administr,1799,ative,,,,,,,,,,,,,235,,,,,,
administrator,o200k_base,152031,administrator,1,YES,152031,administrator,,,,,,,,,,,,,,,236,,,,,,
admirable,o200k_base,324 25098 562,ad | mir | able,3,NO,324,ad,25098,mir,562,able,,,,,,,,,,,237,,,,,,
admirably,o200k_base,324 25098 4235,ad | mir | ably,3,NO,324,ad,25098,mir,4235,ably,,,,,,,,,,,238,,,,,,
admiral,o200k_base,324 25098 280,ad | mir | al,3,NO,324,ad,25098,mir,280,al,,,,,,,,,,,239,,,,,,
